CookerStat, GenerateAssetRegistry=0.196867, Initialize=0.847615, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7686B5E94826FE0DDED9C885B611456A__1_0_13123_0, StartTime=2016.05.05-15.33.43, HierarchicalDDC=, DataSize=1425, Duration=1.370624, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0FE4F7EE4B195A3E3678BD8F4AD905BF__1_0_13123_0, StartTime=2016.05.05-15.33.43, HierarchicalDDC=, DataSize=627, Duration=3.029250, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3BA510741237926CF6CCB958D29E7EE__1_0_13123_0, StartTime=2016.05.05-15.33.43, HierarchicalDDC=, DataSize=347, Duration=1.146626, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90A5EA3349B0371A56807A83B87E3DFB__1_0_13123_0, StartTime=2016.05.05-15.33.43, HierarchicalDDC=, DataSize=541, Duration=2.641924, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B387366644980CD75E43FEB1795D7695__1_0_13123_0, StartTime=2016.05.05-15.34.15, HierarchicalDDC=, DataSize=458, Duration=1.536515, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_45D74D6644D799B4A9DFE4A5C8F0480E__1_0_13123_0, StartTime=2016.05.05-15.34.15, HierarchicalDDC=, DataSize=1425, Duration=1.267713, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_895E905F48CD3D9D8673AF93BAC3758C__1_0_13123_0, StartTime=2016.05.05-15.34.15, HierarchicalDDC=, DataSize=627, Duration=3.107589, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionIdAFD12FE347583B3F5765BE96AB5B0D64_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DEAF7F0C4A4B7E032DEF1C97ECDE6FA8__1_0_13123_0, StartTime=2016.05.05-15.34.15, HierarchicalDDC=, DataSize=347, Duration=1.129985, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId0517927844C9071D81F6FBA3E16D0A47_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97F2833441698F5A27ED60B5FC9FEF9F__1_0_13123_0, StartTime=2016.05.05-15.34.15, HierarchicalDDC=, DataSize=631, Duration=2.728194, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
DDCTransactionId46E45BC34A0B28C53ACFC797E1D3CB42_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FDD0C07E42904015619E92859DA3931B__1_0_13123_0, StartTime=2016.05.05-15.34.17, HierarchicalDDC=, DataSize=458, Duration=4.959494, RunGuid=RunIDAB5149BC45363C5A48EF698F8F58B02A
