CookerStat, GenerateAssetRegistry=0.199936, Initialize=0.853762, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4E4C91D14FE6C76683BFE6ABB2F3DB6E__1_0_13123_0, StartTime=2016.05.05-19.59.22, HierarchicalDDC=, DataSize=347, Duration=2.853636, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA960D6A4B132E39A047028A5D222B12__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=458, Duration=1.593605, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8B2819D247A9BBCE9BBAD2BB687FCF4D__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=651, Duration=1.251839, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_16EB2D4A4FEE4F159D5B9F8A9E0761E5__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=437, Duration=1.068801, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_92AC5BBB42D0AB8A9CA850B5C8842122__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=347, Duration=1.092866, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C4704FB14C6A4C002F284292A5FF567E__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=347, Duration=0.944641, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CBE8A55D45CD98ABEBC8389E6206883E__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=693, Duration=0.887807, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId9EC1DDAF478F903FDB0A689305F3B76E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_24096D5B49EAFF1C6105B9B3B78D8CED__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=471, Duration=1.054462, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionIdF350BF1F475E794D75B904AFDA53BEEC_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B4D5783C44AE522190C2FDAAF095AAA1__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=575, Duration=1.186818, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E6BA0707418ACDD3C6D79A9BE62631ED__1_0_13123_0, StartTime=2016.05.05-19.59.23, HierarchicalDDC=, DataSize=347, Duration=1.079813, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
DDCTransactionId99A8F854460BDAC91045BC864E22D484_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BAAA25894DDA434F62E9D3A3EF8C9B0A__1_0_13123_0, StartTime=2016.05.05-19.59.35, HierarchicalDDC=, DataSize=458, Duration=1.658883, RunGuid=RunID43ED109B44883E2FC53D858F523AB0AA
